"Index", "name", "specialization", "latitude", "longitude", "address", "contactNumber", "clinicAddress", "consultationFees"
1, "Dr. Jimo (Timothy) Kang, LAc, PhD", "Acupuncturist", 18.626075, 73.747285, "478 Acupuncture Ave, Pune, India", "+91 787 236 1892", "645 Wellness Clinic, Pune", 1500
2, "Dr. Amir Mahajer, DO", "Physiatrist", 18.630272, 73.746854, "529 Healing Touch Ave, Pune, India", "+91 749 342 5321", "762 Spine Center, Pune", 1200
3, "Dr. Alex Kazhdan, DC", "Chiropractor", 18.625934, 73.745993, "745 Spine Care Ave, Pune, India", "+91 763 232 1245", "515 Body Clinic, Pune", 1050
4, "Dr. Andrew So, MD", "Pain Management Specialist", 18.627879, 73.746189, "832 Pain Relief Ave, Pune, India", "+91 787 491 0327", "511 Health Clinic, Pune", 1350
5, "Dr. Cali Reynolds, MD", "Allergist", 18.624550, 73.748155, "672 Allergy Care Ave, Pune, India", "+91 771 559 8320", "334 Medical Center, Pune", 1150
6, "Dr. Charlotte Birnbaum, MD", "Dermatologist", 18.630152, 73.746432, "475 Clear Skin Ave, Pune, India", "+91 799 336 4819", "234 Skin Clinic, Pune", 1200
7, "Dr. Sourab Choudhury, DO", "Pediatric Dermatologist", 18.629768, 73.744808, "196 Skin Care Ave, Pune, India", "+91 783 334 5202", "763 Child Clinic, Pune", 1400
8, "Dr. Priya Chokshi, MD", "Rheumatologist", 18.625296, 73.749724, "512 Joint Relief Ave, Pune, India", "+91 796 145 9067", "512 Joint Clinic, Pune", 1300
9, "Yuliya Mitnitsky, PA", "Physician Assistant", 18.629305, 73.747850, "411 General Care Ave, Pune, India", "+91 778 640 3842", "416 Wellness Center, Pune", 1100
10, "Chinenye Okoro, DNP, FNP-BC, PMHNP-BC", "Family Nurse Practitioner", 18.623876, 73.745939, "337 Family Health Ave, Pune, India", "+91 790 473 2137", "284 Family Clinic, Pune", 950
11, "Dr. Syra Hanif, MD", "Family Physician", 18.624901, 73.748876, "219 Family Care Ave, Pune, India", "+91 770 547 8452", "158 Wellness Clinic, Pune", 1000
12, "Dr. Hanna Freyle, MD", "Internist", 18.628227, 73.747047, "146 Internal Medicine Ave, Pune, India", "+91 758 594 7832", "243 Medical Center, Pune", 1200
13, "Dr. Harvey Rainville, MD, FACS", "Surgeon", 18.625602, 73.746327, "587 Surgical Care Ave, Pune, India", "+91 766 843 2549", "356 Surgery Clinic, Pune", 2000
14, "Dr. Shari Reitzen, MD", "Ear, Nose & Throat Doctor", 18.630659, 73.745081, "732 ENT Care Ave, Pune, India", "+91 774 657 8214", "182 ENT Clinic, Pune", 1350
15, "Dr. Harris Tesher, MD", "Pulmonologist", 18.629157, 73.746769, "417 Lung Health Ave, Pune, India", "+91 797 456 5423", "611 Breathing Clinic, Pune", 1400
16, "Lauren Falcone, NP", "Adult Nurse Practitioner", 18.626370, 73.748042, "275 Care Provider Ave, Pune, India", "+91 770 235 1246", "226 Health Center, Pune", 1100
17, "Stefanie Ammiano, NP", "Nurse Practitioner", 18.624654, 73.745114, "846 Healing Path Ave, Pune, India", "+91 748 952 5634", "314 General Clinic, Pune", 950
18, "Dr. Moustafa Mourad, MD", "Facial Plastic & Reconstructive Surgeon", 18.631168, 73.745726, "672 Beauty Care Ave, Pune, India", "+91 796 768 1354", "561 Face Clinic, Pune", 2200
